wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,1,41,2,6.857142857142857,7,7,7,7,7,6,7,4.875,5,7,7,7,2,6,2,3,NA,NA,NA,5.28,6.262064477965099,6.80795918367347,5.527826086956522,6.4504081632653065
1,2,35,1,6,6,6,6,6,6,6,6,5,5,5,6,4,6,5,5,4,NA,NA,NA,4.84,6.381358320183288,6.253617021276596,6.54,6.4136386261821805
1,3,34,2,6.714285714285714,7,6,7,7,7,6,7,5.125,2,6,6,6,6,6,3,6,NA,NA,NA,6.36,6.301516482080338,6.473659231134314,5.958333333333333,6.2437681159420295
1,4,NA,2,4.428571428571429,2,2,7,4,7,5,4,5.625,6,6,6,4,5,6,6,6,NA,NA,NA,5.54,5.2652777777777775,NA,5.069444444444445,5.461111111111111
1,5,42,1,6.571428571428571,7,7,7,6,7,6,6,5.5,6,6,6,6,4,5,7,4,NA,NA,NA,4.795918367346939,5.560308611249377,NA,5.183673469387755,5.685853658536585
1,6,34,1,6.857142857142857,7,7,7,7,7,6,7,5.75,6,6,7,6,5,6,4,6,NA,NA,NA,5.3,5.9239893617021275,6.0625,6.08,5.8258156028368795
1,7,40,1,4.142857142857143,1,7,1,5,7,1,7,4.25,3,7,7,2,5,2,6,2,NA,NA,NA,5.46,6.108089053803339,5.822857142857143,6.64,6.596326530612245
1,8,33,2,6.857142857142857,6,7,7,7,7,7,7,6,7,7,7,2,6,6,7,6,NA,NA,NA,5.74,5.835555555555556,5.913333333333333,5.550000000000001,5.92
1,9,31,1,6.571428571428571,7,7,6,6,6,7,7,5.75,5,6,6,6,6,6,6,5,NA,NA,NA,5.36,5.6666726474364175,5.857591113040961,5.96,5.474016768292683
1,10,39,2,6.571428571428571,6,6,7,7,7,6,7,4,3,7,3,3,7,3,3,3,NA,NA,NA,5.74,6.0064912613981765,6.563988095238095,5.284893617021277,5.613095238095238
1,11,40,1,6.571428571428571,7,7,5,7,6,7,7,6,6,6,6,7,5,6,5,7,NA,NA,NA,5.38,5.4955524999597944,5.74688731284476,6.05,3.63265306122449
1,12,44,2,5.571428571428571,6,6,6,5,5,5,6,4.75,5,6,5,5,5,4,5,3,NA,NA,NA,5.163265306122449,5.5865909430303695,5.715993631495151,5.742040816326531,5.237037037037037
1,13,37,2,6.142857142857143,6,6,6,6,6,6,7,5.5,6,6,7,6,6,5,3,5,NA,NA,NA,5.36,6.202878327346412,NA,5.9352968460111315,6.381265981569933
1,14,50,2,5.142857142857143,5,5,5,5,5,5,6,4.875,6,3,2,6,6,3,6,7,NA,NA,NA,5.44,6.686930091185411,7,6.276595744680851,6.7193515704154
1,15,40,2,5.428571428571429,6,4,6,6,6,5,5,5.125,5,6,6,4,5,6,4,5,NA,NA,NA,4.92,5.975572562358277,NA,4.836734693877551,6.355185185185185
1,16,36,1,7,7,7,7,7,7,7,7,6.875,7,7,7,7,6,7,7,7,NA,NA,NA,5.46,5.517777777777778,5.515555555555555,NA,5.52
1,17,42,1,6,6,6,6,6,6,6,6,5.75,6,6,6,4,6,6,6,6,NA,NA,NA,5.7,5.335327136601768,6.006590136054422,5.042758620689655,4.956632653061225
1,18,NA,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,5.2,5.544558455881619,5.869706925014841,5.331951219512195,4.675416666666667
